tanggal,id_komoditas,id_pasar,harga,nama_komoditas,satuan
2022-02-10,15,1,20000,Telur Ayam Ras,kg
2022-02-10,16,1,110000,Daging Sapi Paha Belakang,kg
2022-02-10,22,1,3000,Mie Instan,bungkus
2022-02-10,23,1,26000,Bawang Putih Honan,kg
2022-02-10,24,1,28000,Bawang Putih Kating,kg
2022-02-10,26,1,12000,Susu Kental Manis,kg
2022-02-10,29,1,60000,Daging Ayam Kampung,kg
2022-02-10,30,1,42000,Telur Ayam Kampung,kg
2022-02-11,1,1,9000,Beras Medium,kg
2022-02-11,2,1,10000,Beras Premium,kg
2022-02-11,3,1,25000,Cabai Merah Keriting,kg
2022-02-11,4,1,25000,Cabai Merah Besar,kg
2022-02-11,5,1,30000,Cabai Rawit Merah,kg
2022-02-11,6,1,20000,Cabai Rawit Hijau,kg
2022-02-11,7,1,26000,Bawang Merah,kg
2022-02-11,13,1,11000,Tepung Terigu,kg
